x;linear;quadratic;cubic;square_root;inverse
1.460000;0.803000;0.170528;0.018673;1.993703;2.054795
1.477500;0.812625;0.174641;0.019352;2.005616;2.030457
1.495000;0.822250;0.178802;0.020048;2.017458;2.006689
1.512500;0.831875;0.183012;0.020760;2.029232;1.983471
1.530000;0.841500;0.187272;0.021489;2.040937;1.960784
1.547500;0.851125;0.191581;0.022235;2.052576;1.938611
1.565000;0.860750;0.195938;0.022998;2.064149;1.916933
1.582500;0.870375;0.200344;0.023778;2.075658;1.895735
1.600000;0.880000;0.204800;0.024576;2.087103;1.875000
1.617500;0.889625;0.209305;0.025391;2.098486;1.854714
1.635000;0.899250;0.213858;0.026224;2.109807;1.834862
1.652500;0.908875;0.218461;0.027075;2.121068;1.815431
1.670000;0.918500;0.223112;0.027945;2.132270;1.796407
1.687500;0.928125;0.227813;0.028833;2.143413;1.777778
1.705000;0.937750;0.232562;0.029739;2.154498;1.759531
1.722500;0.947375;0.237361;0.030664;2.165527;1.741655
1.740000;0.957000;0.242208;0.031608;2.176499;1.724138
1.757500;0.966625;0.247105;0.032571;2.187417;1.706970
1.775000;0.976250;0.252050;0.033554;2.198281;1.690141
1.792500;0.985875;0.257045;0.034556;2.209091;1.673640
1.810000;0.995500;0.262088;0.035578;2.219848;1.657459
1.827500;1.005125;0.267181;0.036620;2.230553;1.641587
1.845000;1.014750;0.272322;0.037683;2.241208;1.626016
1.862500;1.024375;0.277513;0.038765;2.251812;1.610738
1.880000;1.034000;0.282752;0.039868;2.262366;1.595745
1.897500;1.043625;0.288040;0.040992;2.272871;1.581028
1.915000;1.053250;0.293378;0.042136;2.283328;1.566580
1.932500;1.062875;0.298765;0.043302;2.293737;1.552393
1.950000;1.072500;0.304200;0.044489;2.304100;1.538462
1.967500;1.082125;0.309685;0.045698;2.314415;1.524778
1.985000;1.091750;0.315218;0.046928;2.324685;1.511335
2.002500;1.101375;0.320801;0.048180;2.334910;1.498127
2.020000;1.111000;0.326432;0.049454;2.345091;1.485149
2.037500;1.120625;0.332113;0.050751;2.355227;1.472393
2.055000;1.130250;0.337842;0.052070;2.365320;1.459854
2.072500;1.139875;0.343621;0.053412;2.375370;1.447527
2.090000;1.149500;0.349448;0.054776;2.385377;1.435407
2.107500;1.159125;0.355324;0.056163;2.395343;1.423488
2.125000;1.168750;0.361250;0.057574;2.405268;1.411765
2.142500;1.178375;0.367225;0.059008;2.415151;1.400233
2.160000;1.188000;0.373248;0.060466;2.424995;1.388889
2.177500;1.197625;0.379321;0.061948;2.434799;1.377727
2.195000;1.207250;0.385442;0.063453;2.444563;1.366743
2.212500;1.216875;0.391613;0.064983;2.454288;1.355932
2.230000;1.226500;0.397832;0.066537;2.463975;1.345291
2.247500;1.236125;0.404101;0.068116;2.473625;1.334816
2.265000;1.245750;0.410418;0.069720;2.483236;1.324503
2.282500;1.255375;0.416785;0.071348;2.492811;1.314348
2.300000;1.265000;0.423200;0.073002;2.502349;1.304348
2.317500;1.274625;0.429665;0.074681;2.511851;1.294498
2.335000;1.284250;0.436178;0.076386;2.521317;1.284797
2.352500;1.293875;0.442741;0.078116;2.530747;1.275239
2.370000;1.303500;0.449352;0.079872;2.540143;1.265823
2.387500;1.313125;0.456013;0.081655;2.549504;1.256545
2.405000;1.322750;0.462722;0.083463;2.558830;1.247401
2.422500;1.332375;0.469481;0.085299;2.568123;1.238390
2.440000;1.342000;0.476288;0.087161;2.577382;1.229508
2.457500;1.351625;0.483145;0.089050;2.586609;1.220753
2.475000;1.361250;0.490050;0.090966;2.595802;1.212121
2.492500;1.370875;0.497005;0.092909;2.604963;1.203611
2.510000;1.380500;0.504008;0.094880;2.614092;1.195219
2.527500;1.390125;0.511061;0.096878;2.623189;1.186944
2.545000;1.399750;0.518162;0.098904;2.632254;1.178782
2.562500;1.409375;0.525313;0.100958;2.641289;1.170732
2.580000;1.419000;0.532512;0.103041;2.650292;1.162791
2.597500;1.428625;0.539761;0.105152;2.659266;1.154957
2.615000;1.438250;0.547058;0.107292;2.668209;1.147228
2.632500;1.447875;0.554405;0.109460;2.677122;1.139601
2.650000;1.457500;0.561800;0.111658;2.686005;1.132075
2.667500;1.467125;0.569245;0.113884;2.694860;1.124649
2.685000;1.476750;0.576738;0.116141;2.703685;1.117318
2.702500;1.486375;0.584280;0.118426;2.712482;1.110083
2.720000;1.496000;0.591872;0.120742;2.721250;1.102941
2.737500;1.505625;0.599513;0.123087;2.729990;1.095890
2.755000;1.515250;0.607202;0.125463;2.738702;1.088929
2.772500;1.524875;0.614941;0.127869;2.747386;1.082056
2.790000;1.534500;0.622728;0.130306;2.756043;1.075269
2.807500;1.544125;0.630565;0.132773;2.764673;1.068566
2.825000;1.553750;0.638450;0.135272;2.773276;1.061947
2.842500;1.563375;0.646385;0.137801;2.781853;1.055409
2.860000;1.573000;0.654368;0.140362;2.790403;1.048951
2.877500;1.582625;0.662401;0.142954;2.798927;1.042572
2.895000;1.592250;0.670482;0.145578;2.807425;1.036269
2.912500;1.601875;0.678613;0.148234;2.815898;1.030043
2.930000;1.611500;0.686792;0.150923;2.824345;1.023891
2.947500;1.621125;0.695021;0.153643;2.832767;1.017812
2.965000;1.630750;0.703298;0.156396;2.841164;1.011804
2.982500;1.640375;0.711625;0.159182;2.849536;1.005868
3.000000;1.650000;0.720000;0.162000;2.857884;1.000000
3.017500;1.659625;0.728425;0.164852;2.866207;0.994200
3.035000;1.669250;0.736898;0.167736;2.874506;0.988468
3.052500;1.678875;0.745421;0.170655;2.882782;0.982801
3.070000;1.688500;0.753992;0.173607;2.891034;0.977199
3.087500;1.698125;0.762613;0.176592;2.899262;0.971660
3.105000;1.707750;0.771282;0.179612;2.907467;0.966184
3.122500;1.717375;0.780001;0.182666;2.915649;0.960769
3.140000;1.727000;0.788768;0.185755;2.923807;0.955414
3.157500;1.736625;0.797585;0.188878;2.931944;0.950119
3.175000;1.746250;0.806450;0.192036;2.940057;0.944882
3.192500;1.755875;0.815365;0.195229;2.948149;0.939702
3.210000;1.765500;0.824328;0.198457;2.956218;0.934579
3.227500;1.775125;0.833341;0.201720;2.964265;0.929512
3.245000;1.784750;0.842402;0.205020;2.972291;0.924499
3.262500;1.794375;0.851513;0.208354;2.980295;0.919540
3.280000;1.804000;0.860672;0.211725;2.988277;0.914634
3.297500;1.813625;0.869881;0.215132;2.996238;0.909780
3.315000;1.823250;0.879138;0.218576;3.004178;0.904977
3.332500;1.832875;0.888445;0.222056;3.012097;0.900225
3.350000;1.842500;0.897800;0.225572;3.019996;0.895522
3.367500;1.852125;0.907205;0.229126;3.027874;0.890869
3.385000;1.861750;0.916658;0.232717;3.035731;0.886263
3.402500;1.871375;0.926161;0.236345;3.043568;0.881705
3.420000;1.881000;0.935712;0.240010;3.051385;0.877193
3.437500;1.890625;0.945313;0.243713;3.059182;0.872727
3.455000;1.900250;0.954962;0.247455;3.066959;0.868307
3.472500;1.909875;0.964661;0.251234;3.074716;0.863931
3.490000;1.919500;0.974408;0.255051;3.082454;0.859599
3.507500;1.929125;0.984205;0.258907;3.090173;0.855310
3.525000;1.938750;0.994050;0.262802;3.097872;0.851064
3.542500;1.948375;1.003945;0.266736;3.105552;0.846860
3.560000;1.958000;1.013888;0.270708;3.113214;0.842697
3.577500;1.967625;1.023880;0.274720;3.120856;0.838574
3.595000;1.977250;1.033922;0.278771;3.128480;0.834492
3.612500;1.986875;1.044013;0.282862;3.136085;0.830450
3.630000;1.996500;1.054152;0.286993;3.143672;0.826446
3.647500;2.006125;1.064341;0.291164;3.151241;0.822481
3.665000;2.015750;1.074578;0.295375;3.158791;0.818554
3.682500;2.025375;1.084865;0.299626;3.166324;0.814664
3.700000;2.035000;1.095200;0.303918;3.173838;0.810811
3.717500;2.044625;1.105585;0.308251;3.181335;0.806994
3.735000;2.054250;1.116018;0.312625;3.188814;0.803213
3.752500;2.063875;1.126501;0.317039;3.196276;0.799467
3.770000;2.073500;1.137032;0.321496;3.203720;0.795756
3.787500;2.083125;1.147613;0.325994;3.211148;0.792079
3.805000;2.092750;1.158242;0.330533;3.218558;0.788436
3.822500;2.102375;1.168921;0.335115;3.225950;0.784827
3.840000;2.112000;1.179648;0.339739;3.233326;0.781250
3.857500;2.121625;1.190425;0.344405;3.240686;0.777706
3.875000;2.131250;1.201250;0.349113;3.248028;0.774194
3.892500;2.140875;1.212125;0.353865;3.255354;0.770713
3.910000;2.150500;1.223048;0.358659;3.262664;0.767263
3.927500;2.160125;1.234021;0.363496;3.269957;0.763845
3.945000;2.169750;1.245042;0.368377;3.277234;0.760456
3.962500;2.179375;1.256113;0.373301;3.284495;0.757098
3.980000;2.189000;1.267232;0.378269;3.291740;0.753769
3.997500;2.198625;1.278401;0.383280;3.298969;0.750469
4.015000;2.208250;1.289618;0.388336;3.306182;0.747198
4.032500;2.217875;1.300885;0.393436;3.313379;0.743955
4.050000;2.227500;1.312200;0.398581;3.320561;0.740741
4.067500;2.237125;1.323565;0.403770;3.327727;0.737554
4.085000;2.246750;1.334978;0.409004;3.334878;0.734394
4.102500;2.256375;1.346440;0.414283;3.342014;0.731261
4.120000;2.266000;1.357952;0.419607;3.349134;0.728155
4.137500;2.275625;1.369513;0.424977;3.356240;0.725076
4.155000;2.285250;1.381122;0.430392;3.363330;0.722022
4.172500;2.294875;1.392781;0.435853;3.370405;0.718993
4.190000;2.304500;1.404488;0.441360;3.377466;0.715990
4.207500;2.314125;1.416245;0.446914;3.384512;0.713012
4.225000;2.323750;1.428050;0.452513;3.391543;0.710059
4.242500;2.333375;1.439905;0.458160;3.398559;0.707130
4.260000;2.343000;1.451808;0.463853;3.405562;0.704225
4.277500;2.352625;1.463761;0.469593;3.412549;0.701344
4.295000;2.362250;1.475762;0.475380;3.419523;0.698487
4.312500;2.371875;1.487813;0.481214;3.426482;0.695652
4.330000;2.381500;1.499912;0.487096;3.433428;0.692841
4.347500;2.391125;1.512061;0.493026;3.440359;0.690052
4.365000;2.400750;1.524258;0.499004;3.447276;0.687285
4.382500;2.410375;1.536505;0.505030;3.454180;0.684541
4.400000;2.420000;1.548800;0.511104;3.461069;0.681818
4.417500;2.429625;1.561145;0.517227;3.467945;0.679117
4.435000;2.439250;1.573538;0.523398;3.474808;0.676437
4.452500;2.448875;1.585981;0.529618;3.481656;0.673779
4.470000;2.458500;1.598472;0.535888;3.488492;0.671141
4.487500;2.468125;1.611012;0.542206;3.495314;0.668524
4.505000;2.477750;1.623602;0.548575;3.502123;0.665927
4.522500;2.487375;1.636241;0.554992;3.508918;0.663350
4.540000;2.497000;1.648928;0.561460;3.515700;0.660793
4.557500;2.506625;1.661665;0.567978;3.522470;0.658256
4.575000;2.516250;1.674450;0.574546;3.529226;0.655738
4.592500;2.525875;1.687285;0.581164;3.535970;0.653239
4.610000;2.535500;1.700168;0.587833;3.542700;0.650759
4.627500;2.545125;1.713101;0.594553;3.549418;0.648298
4.645000;2.554750;1.726082;0.601324;3.556123;0.645856
4.662500;2.564375;1.739113;0.608146;3.562816;0.643432
4.680000;2.574000;1.752192;0.615019;3.569496;0.641026
4.697500;2.583625;1.765321;0.621944;3.576163;0.638638
4.715000;2.593250;1.778498;0.628921;3.582818;0.636267
4.732500;2.602875;1.791725;0.635950;3.589461;0.633914
4.750000;2.612500;1.805000;0.643031;3.596092;0.631579
4.767500;2.622125;1.818325;0.650165;3.602710;0.629261
4.785000;2.631750;1.831698;0.657351;3.609316;0.626959
4.802500;2.641375;1.845121;0.664589;3.615910;0.624675
4.820000;2.651000;1.858592;0.671881;3.622492;0.622407
4.837500;2.660625;1.872113;0.679226;3.629062;0.620155
4.855000;2.670250;1.885682;0.686624;3.635621;0.617920
4.872500;2.679875;1.899301;0.694076;3.642167;0.615700
4.890000;2.689500;1.912968;0.701581;3.648702;0.613497
4.907500;2.699125;1.926685;0.709140;3.655225;0.611309
4.925000;2.708750;1.940450;0.716754;3.661736;0.609137
4.942500;2.718375;1.954265;0.724421;3.668236;0.606980
4.960000;2.728000;1.968128;0.732144;3.674724;0.604839
4.977500;2.737625;1.982041;0.739920;3.681201;0.602712
4.995000;2.747250;1.996002;0.747752;3.687667;0.600601
5.012500;2.756875;2.010013;0.755639;3.694121;0.598504
5.030000;2.766500;2.024072;0.763581;3.700564;0.596421
5.047500;2.776125;2.038181;0.771579;3.706996;0.594354
5.065000;2.785750;2.052338;0.779632;3.713417;0.592300
5.082500;2.795375;2.066545;0.787741;3.719826;0.590261
5.100000;2.805000;2.080800;0.795906;3.726225;0.588235
5.117500;2.814625;2.095105;0.804127;3.732612;0.586224
5.135000;2.824250;2.109458;0.812405;3.738989;0.584226
5.152500;2.833875;2.123861;0.820739;3.745355;0.582242
5.170000;2.843500;2.138312;0.829130;3.751710;0.580271
5.187500;2.853125;2.152813;0.837579;3.758054;0.578313
5.205000;2.862750;2.167362;0.846084;3.764387;0.576369
5.222500;2.872375;2.181961;0.854647;3.770710;0.574438
5.240000;2.882000;2.196608;0.863267;3.777023;0.572519
5.257500;2.891625;2.211305;0.871945;3.783324;0.570613
5.275000;2.901250;2.226050;0.880681;3.789616;0.568720
5.292500;2.910875;2.240845;0.889475;3.795897;0.566840
5.310000;2.920500;2.255688;0.898328;3.802167;0.564972
5.327500;2.930125;2.270581;0.907239;3.808427;0.563116
5.345000;2.939750;2.285522;0.916209;3.814677;0.561272
5.362500;2.949375;2.300512;0.925237;3.820917;0.559441
5.380000;2.959000;2.315552;0.934325;3.827146;0.557621
5.397500;2.968625;2.330641;0.943472;3.833366;0.555813
5.415000;2.978250;2.345778;0.952679;3.839575;0.554017
5.432500;2.987875;2.360965;0.961945;3.845774;0.552232
5.450000;2.997500;2.376200;0.971272;3.851964;0.550459
5.467500;3.007125;2.391485;0.980658;3.858143;0.548697
5.485000;3.016750;2.406818;0.990105;3.864313;0.546946
5.502500;3.026375;2.422201;0.999612;3.870472;0.545207
5.520000;3.036000;2.437632;1.009180;3.876622;0.543478
5.537500;3.045625;2.453113;1.018808;3.882762;0.541761
5.555000;3.055250;2.468642;1.028498;3.888893;0.540054
5.572500;3.064875;2.484221;1.038249;3.895014;0.538358
5.590000;3.074500;2.499848;1.048061;3.901125;0.536673
5.607500;3.084125;2.515525;1.057935;3.907226;0.534998
5.625000;3.093750;2.531250;1.067871;3.913319;0.533333
5.642500;3.103375;2.547025;1.077869;3.919401;0.531679
5.660000;3.113000;2.562848;1.087929;3.925474;0.530035
5.677500;3.122625;2.578721;1.098051;3.931538;0.528402
5.695000;3.132250;2.594642;1.108236;3.937593;0.526778
5.712500;3.141875;2.610613;1.118484;3.943638;0.525164
5.730000;3.151500;2.626632;1.128795;3.949674;0.523560
5.747500;3.161125;2.642701;1.139169;3.955701;0.521966
5.765000;3.170750;2.658818;1.149606;3.961718;0.520382
5.782500;3.180375;2.674985;1.160107;3.967727;0.518807
5.800000;3.190000;2.691200;1.170672;3.973726;0.517241
5.817500;3.199625;2.707465;1.181301;3.979717;0.515685
5.835000;3.209250;2.723778;1.191993;3.985698;0.514139
5.852500;3.218875;2.740140;1.202750;3.991670;0.512601
5.870000;3.228500;2.756552;1.213572;3.997634;0.511073
5.887500;3.238125;2.773013;1.224458;4.003588;0.509554
5.905000;3.247750;2.789522;1.235410;4.009534;0.508044
5.922500;3.257375;2.806081;1.246426;4.015471;0.506543
5.940000;3.267000;2.822688;1.257508;4.021399;0.505051
5.957500;3.276625;2.839345;1.268655;4.027318;0.503567
5.975000;3.286250;2.856050;1.279867;4.033229;0.502092
5.992500;3.295875;2.872805;1.291146;4.039131;0.500626
6.010000;3.305500;2.889608;1.302491;4.045025;0.499168
6.027500;3.315125;2.906461;1.313902;4.050910;0.497719
6.045000;3.324750;2.923362;1.325379;4.056786;0.496278
6.062500;3.334375;2.940313;1.336923;4.062654;0.494845
6.080000;3.344000;2.957312;1.348534;4.068513;0.493421
6.097500;3.353625;2.974361;1.360212;4.074364;0.492005
6.115000;3.363250;2.991458;1.371957;4.080207;0.490597
6.132500;3.372875;3.008605;1.383770;4.086041;0.489197
6.150000;3.382500;3.025800;1.395650;4.091867;0.487805
6.167500;3.392125;3.043045;1.407598;4.097685;0.486421
6.185000;3.401750;3.060338;1.419614;4.103494;0.485044
6.202500;3.411375;3.077681;1.431698;4.109295;0.483676
6.220000;3.421000;3.095072;1.443851;4.115088;0.482315
6.237500;3.430625;3.112513;1.456072;4.120873;0.480962
6.255000;3.440250;3.130002;1.468362;4.126650;0.479616
6.272500;3.449875;3.147541;1.480721;4.132418;0.478278
6.290000;3.459500;3.165128;1.493149;4.138179;0.476948
6.307500;3.469125;3.182765;1.505647;4.143932;0.475624
6.325000;3.478750;3.200450;1.518213;4.149676;0.474308
6.342500;3.488375;3.218185;1.530850;4.155413;0.473000
6.360000;3.498000;3.235968;1.543557;4.161142;0.471698
6.377500;3.507625;3.253801;1.556333;4.166863;0.470404
6.395000;3.517250;3.271682;1.569180;4.172576;0.469116
6.412500;3.526875;3.289613;1.582098;4.178281;0.467836
6.430000;3.536500;3.307592;1.595086;4.183978;0.466563
6.447500;3.546125;3.325621;1.608145;4.189668;0.465297
6.465000;3.555750;3.343698;1.621276;4.195350;0.464037
6.482500;3.565375;3.361825;1.634477;4.201024;0.462784
6.500000;3.575000;3.380000;1.647750;4.206691;0.461538
6.517500;3.584625;3.398224;1.661095;4.212350;0.460299
6.535000;3.594250;3.416498;1.674511;4.218002;0.459067
6.552500;3.603875;3.434821;1.688000;4.223645;0.457841
6.570000;3.613500;3.453192;1.701560;4.229282;0.456621
6.587500;3.623125;3.471613;1.715194;4.234911;0.455408
6.605000;3.632750;3.490082;1.728899;4.240532;0.454201
6.622500;3.642375;3.508601;1.742678;4.246146;0.453001
6.640000;3.652000;3.527168;1.756530;4.251753;0.451807
6.657500;3.661625;3.545785;1.770455;4.257352;0.450620
6.675000;3.671250;3.564450;1.784453;4.262944;0.449438
6.692500;3.680875;3.583165;1.798525;4.268528;0.448263
6.710000;3.690500;3.601928;1.812670;4.274105;0.447094
6.727500;3.700125;3.620741;1.826890;4.279675;0.445931
6.745000;3.709750;3.639602;1.841184;4.285238;0.444774
6.762500;3.719375;3.658513;1.855552;4.290793;0.443623
6.780000;3.729000;3.677472;1.869995;4.296341;0.442478
6.797500;3.738625;3.696481;1.884512;4.301883;0.441339
6.815000;3.748250;3.715538;1.899104;4.307417;0.440205
6.832500;3.757875;3.734645;1.913772;4.312943;0.439078
6.850000;3.767500;3.753800;1.928515;4.318463;0.437956
6.867500;3.777125;3.773005;1.943333;4.323976;0.436840
6.885000;3.786750;3.792258;1.958227;4.329482;0.435730
6.902500;3.796375;3.811561;1.973197;4.334981;0.434625
6.920000;3.806000;3.830912;1.988243;4.340472;0.433526
6.937500;3.815625;3.850313;2.003366;4.345957;0.432432
6.955000;3.825250;3.869762;2.018565;4.351435;0.431344
6.972500;3.834875;3.889261;2.033840;4.356906;0.430262
6.990000;3.844500;3.908808;2.049193;4.362370;0.429185
7.007500;3.854125;3.928405;2.064622;4.367828;0.428113
7.025000;3.863750;3.948050;2.080129;4.373278;0.427046
7.042500;3.873375;3.967745;2.095713;4.378722;0.425985
7.060000;3.883000;3.987488;2.111375;4.384159;0.424929
7.077500;3.892625;4.007281;2.127115;4.389589;0.423878
7.095000;3.902250;4.027122;2.142932;4.395013;0.422833
7.112500;3.911875;4.047013;2.158828;4.400430;0.421793
7.130000;3.921500;4.066952;2.174803;4.405840;0.420757
7.147500;3.931125;4.086941;2.190856;4.411243;0.419727
7.165000;3.940750;4.106978;2.206987;4.416640;0.418702
7.182500;3.950375;4.127065;2.223198;4.422031;0.417682
7.200000;3.960000;4.147200;2.239488;4.427415;0.416667
7.217500;3.969625;4.167385;2.255857;4.432792;0.415656
7.235000;3.979250;4.187618;2.272306;4.438163;0.414651
7.252500;3.988875;4.207901;2.288835;4.443527;0.413650
7.270000;3.998500;4.228232;2.305443;4.448885;0.412655
7.287500;4.008125;4.248613;2.322132;4.454236;0.411664
7.305000;4.017750;4.269042;2.338901;4.459581;0.410678
7.322500;4.027375;4.289521;2.355751;4.464920;0.409696
7.340000;4.037000;4.310048;2.372681;4.470252;0.408719
7.357500;4.046625;4.330625;2.389693;4.475577;0.407747
7.375000;4.056250;4.351250;2.406785;4.480897;0.406780
7.392500;4.065875;4.371925;2.423959;4.486210;0.405817
7.410000;4.075500;4.392648;2.441214;4.491517;0.404858
7.427500;4.085125;4.413421;2.458551;4.496818;0.403904
7.445000;4.094750;4.434242;2.475970;4.502112;0.402955
7.462500;4.104375;4.455113;2.493471;4.507400;0.402010
7.480000;4.114000;4.476032;2.511054;4.512682;0.401070
7.497500;4.123625;4.497001;2.528720;4.517958;0.400133
7.515000;4.133250;4.518018;2.546468;4.523228;0.399202
7.532500;4.142875;4.539085;2.564299;4.528491;0.398274
7.550000;4.152500;4.560200;2.582213;4.533748;0.397351
7.567500;4.162125;4.581365;2.600211;4.539000;0.396432
7.585000;4.171750;4.602578;2.618292;4.544245;0.395517
7.602500;4.181375;4.623841;2.636456;4.549484;0.394607
7.620000;4.191000;4.645152;2.654704;4.554717;0.393701
7.637500;4.200625;4.666512;2.673037;4.559944;0.392799
7.655000;4.210250;4.687922;2.691453;4.565166;0.391901
7.672500;4.219875;4.709381;2.709954;4.570381;0.391007
7.690000;4.229500;4.730888;2.728540;4.575590;0.390117
7.707500;4.239125;4.752445;2.747210;4.580793;0.389231
7.725000;4.248750;4.774050;2.765965;4.585991;0.388350
7.742500;4.258375;4.795705;2.784806;4.591182;0.387472
7.760000;4.268000;4.817408;2.803731;4.596368;0.386598
7.777500;4.277625;4.839161;2.822743;4.601548;0.385728
7.795000;4.287250;4.860962;2.841840;4.606722;0.384862
7.812500;4.296875;4.882812;2.861023;4.611890;0.384000
7.830000;4.306500;4.904712;2.880292;4.617053;0.383142
7.847500;4.316125;4.926661;2.899648;4.622209;0.382287
7.865000;4.325750;4.948658;2.919090;4.627360;0.381437
7.882500;4.335375;4.970705;2.938618;4.632505;0.380590
7.900000;4.345000;4.992800;2.958234;4.637645;0.379747
7.917500;4.354625;5.014945;2.977937;4.642779;0.378907
7.935000;4.364250;5.037138;2.997727;4.647907;0.378072
7.952500;4.373875;5.059381;3.017604;4.653029;0.377240
7.970000;4.383500;5.081672;3.037569;4.658146;0.376412
7.987500;4.393125;5.104012;3.057622;4.663257;0.375587
8.005000;4.402750;5.126402;3.077764;4.668363;0.374766
8.022500;4.412375;5.148841;3.097993;4.673463;0.373948
8.040000;4.422000;5.171328;3.118311;4.678557;0.373134
8.057500;4.431625;5.193865;3.138717;4.683646;0.372324
8.075000;4.441250;5.216450;3.159213;4.688730;0.371517
8.092500;4.450875;5.239084;3.179797;4.693808;0.370714
8.110000;4.460500;5.261768;3.200470;4.698880;0.369914
8.127500;4.470125;5.284501;3.221233;4.703947;0.369117
8.145000;4.479750;5.307282;3.242086;4.709009;0.368324
8.162500;4.489375;5.330113;3.263028;4.714065;0.367534
8.180000;4.499000;5.352992;3.284061;4.719115;0.366748
8.197500;4.508625;5.375921;3.305183;4.724161;0.365965
8.215000;4.518250;5.398898;3.326396;4.729201;0.365186
8.232500;4.527875;5.421924;3.347700;4.734235;0.364409
8.250000;4.537500;5.445000;3.369094;4.739264;0.363636
8.267500;4.547125;5.468125;3.390579;4.744288;0.362867
8.285000;4.556750;5.491298;3.412155;4.749307;0.362100
8.302500;4.566375;5.514521;3.433823;4.754320;0.361337
8.320000;4.576000;5.537792;3.455582;4.759328;0.360577
